,评论内容
321,手机 很漂亮 查 序列号 未 正品 物流 很快 期 免息 抢购 感觉 不错 第一次 苹果 跟安卓 熟练 比较满意 
322,电池 充满 小时 充满 6p 2900 毫 耐用 反应速度 挺快 软件 打开 广告 秒 开 拍照 完美 喜欢 人像 模式 背景 虚化 自然 音质 大声 声音 够重       快递 很快 晚上 两点 下单 下午 送到 满意 好评 
323,手机 速度 特别 过年 抢红包 优势 哈哈哈哈 沉 5s 唯一 遗憾 双 十二 价格 优惠 四千 哭死了 
324,很快 数码 品就数 京东 最快 手机 全新 未 开封 外观 完美 屏幕显示 到手 开机 88% 电量 生产日期 1899 上个月 苹果 主板 更换 时间 之外 真香 开机 测试 功能 买 正品 京东 自营 
325,缝隙 接受 系统 1212 到手 内存 55 G 快递 小哥 服务 包装 手机 着实 挺重 4s 换到 8plus 感觉 速度 快太多 
326,"圆润 玻璃 背面 好看 hellip 摸 舒服 hellip 握持 手感 满分 hellip 颜值 说 hellip 屏 没什么 兴趣 整齐 正面 X 漂亮 
 
 Home 键 浑身 舒爽 helliphelliphellip 舍友 说好 helliphellip 功能 hellip 算不上 亮点 
 
 处理器 性能 不错 hellip 开 软件 秒 开 hellip 流畅 
 拍照 网上 众 机型     高下 立判 8p 拍照 效果 一大截 "
327,京东 挺快 关注 手机 很久 金色 黑色 贵 100 块钱 啥时候 京东 搞 点 优惠活动 京东 快递 挺快 改用 环保 袋子 装送 感觉 纸箱装 快递 送到 手后 打开 试用 系统 流畅 完美 确实 最新 日期 
328,物流 很快 手机 一周 屏幕 分辨率 高 55 英寸 显示屏 手 单手 拿不住 玫瑰 金 喜欢 颜色 个人感觉 待机 续航 时间 
329,收到 发现 屏幕 黑影 换 一部 还好 过年 收到 手机 流畅 内存 够 再也 卡到 心累 
330,手机 收到 没想到 送 到货 喜欢 网上 买 便宜 店铺 差别   不错 手机   像素 好照 特别 清晰 太 喜欢 
331,苹果 手机 高档 手机 代表 系统 流畅 稳定 卡顿 如丝 般 顺滑 脱离 安卓用 苹果 再也 回不去 再也 不买安卓机 不用 担心 卡顿 不用 清理 后台 不用 清理 垃圾 杀毒 用起 放心 踏实 旗舰 样子 支持 苹果 愿 苹果 越来越 牛 逼 
332,手机   查看 保证 有没有 破损   京东 快递 真 完美   毫发 伤     序列号 差   全新 机   手机 序列号   赞 
333,特地 一段时间 评论 金色 耐看 手机 运行 速度 很快 第一次 苹果 手机 很快 手 
334,金色 好看 流畅 查看 充电 时间 激活 已充 过电 
335,手机 不错 是因为 大二 买 用坏 不停 卡 明明 干 提示 内存 已满 过分 64g 够用 深空 灰 心仪 颜色 感觉 内涵 喔 helliphellip 手机 手上 办法 拍照 手机 壳 粉粉 漂漂 可不可以 送 钢化 膜 手机 壳 手机 壳 钢化 膜 没到 提心吊胆 小心 小心 后膜 玻璃 helliphellip 
336,买 红色 8p 老婆 喜欢 屏 喜欢 玩游戏 别扭 红色 漂亮 捣鼓 晒 
337,外包装 灰尘 外 手机 第一次 研究 久 查 真伪 喜欢 
338,一周 手机 流畅 声音 信号 强 待机 一周 信赖 哥东强 希望 京东 越 越 
339,好用 很漂亮 山炮 红色 收到 特别 喜欢 酒 红色 好看 查验 激活 时间 新机 电池 续航 不停 游戏 上网 电量 满意 
340,喜欢 苹果 手机 永远 卡顿 流畅性 特别 电池 挺 耐用 一整天 待机 特别 好像 素 特别 棒 拍 大片 质疑 苹果 质量 哈哈哈哈 
341,真的 喜欢 64GB 银色 版 iPhone   电池 续航 惊人 亮度 设置   50% 情况 小时 网页 浏览 观看 YouTube 视频 拍照 电池 损耗 10 速度 很快 扬声器 提供 优质 声音 相机 低光 环境 更好 表现 手机 质量 玻璃 背面 笨拙 一种 固体 玻璃 部 不错 手机 
342,流畅 26 号 买 手机 查验 25 号 激活 手机 蛮沉 通话 声音 很小 搞 搞 大声 续航 想象 中 早上 九点 出门 拍照 打游戏 晚上 九点 回来 十几 电量 
343,想换 手机 纠结 忍住 查看 手机 挺 查 序列号 正品 手感 满意 苹果 手机 国产 好用 一点点 满意 
344,苹果 手机 音质 挺 电池 耐用 外观 行 像素 挺 高 拍照 效果 信号 声音 大蛮 合适 老年人 
345,激活 新 机子 感觉 好用 喜欢 比贵 感觉 质量 可信 希望 优惠 力度 加大 下次 购买 
346,电池容量 不错 够用 外观 没得说 舒服 薄 
347,创维 酷开 led 液晶 电视机 互联网 电视节目 色彩 不错 价格 实惠 关键 防 蓝光 设计 孩子 护眼 作用 满意 电视机 品牌 放心 电视 效果 不错 服务 安装 挂架 服务 性价比 值得 下次 买 京东 放心 平台 
348,一个多 星期 评价 正品 质量 屏幕 分辨率 高 解锁 块 5388 入手 特别 合适 打电话 空旷 挺 
349,第一次 苹果 手机 感觉 特别 棒 不卡 流畅 相机 不错 红色 特别 款 618 活动 618 恢复 原价 
350,拿到 货 仔仔细细 里里外外 一遍 瑕疵 激活 试 声音 电流 声音     喜欢 苹果 系统 不卡顿 满意 
351,货 收到 运行 速度 信号 电量 快点 完美 
352,电子产品 京东 购买 放心 电池 续航 确实 6sp 强 充满 电像 玩 10 小时 挺 满意 
353,第一次 苹果 用安卓 WP 操作 逻辑 说 说 外观 双面 玻璃   质感 很棒 外观 细节 细腻 苹果 工业 设计 很赞 分量 重 不好 录像 时 摄像头 发热 标配 快充 充电器 遗憾 
354,特别 喜欢 大爱 手感 特别 大小 尺寸 合适 像素 高清 太漂亮 
355,买过 两个 手机 喜欢 质量 没得说 64g 用不完 买大 内存 照片 图 那句话   愿 买 每一件 商品 便宜   喜欢 
356,手机 触感 不错       买 打游戏 流畅 度 完美 
357,速度 超级 金色 粉粉 土豪 不错 像素 6s 高清 买不起 x8p 不错 稳 赶上 活动 价 活动 开心 
358,金色 出奇 好看 后壳 一种 肤粉 边框 玫瑰 金蓝后 顺畅 担心 卡机 放 平板 旁边 同步 很棒 
359,刚买 上官 网 查询 时间 触感 正品 想 入手 很久 没想到 新品 发布 涨价 有货 赶紧 入手 喜欢 外观 很漂亮 
360,媳妇 买 周 感觉 不错 没什么 8plus 续航 牛 真心 苹果 一款 集 双面 玻璃 home 键大屏 窄 边框 touchID 续航 满意 手机 66S7 技术 积累 8plus 值得 拥有 
361,苹果 系统 再也 不想 用安卓 x58 寸 全屏 金色 玻璃 屏 好看 金色 买 银色 不错 电池 耐用 做 评价 苹果 
362,"终于 狠下 心 换掉 多年 ip6 备受 冷遇 反正 受不了 X 刘海 分 分钟 逼死 强迫症 hhhhh 
 说 说 ip8 舒服 运行 速度 很快 很快 电量 苹果 懂 hhhhh 
 256G 内存 真心 爽 疯狂 软件 hhhhh "
363,手机 质感 运行 速度 挺快 比较稳定 系统 整体 流畅 送货 很快 
364,手机 一段时间 好用 质量 不错 外观 很漂亮 喜欢 电池 充满 一整天 儿子 买 一台 平板 
365,苹果 8plus 手机 电池 耐用 用蛮 久 系统 设计 挺 人性化 外观 做工 精致 拍照 效果 晒晒 照片 
366,"不错 不错 喜欢 京东 买 手机 京东 买 
 十几 二十几 部手机 令 失望 这部 
 苹果 第一部 苹果   从安卓换 苹果 原因 
 有二一 想 试试 苹果 游戏 体验 比安卓 
 好二是 尝尝鲜 把玩 感觉 重 
 力 按压 功能 游戏 里 我用 
 一部 手机 2K 屏 感觉 屏幕 有轻 
 微 颗粒感 操作 流畅 度 不觉 
 比安卓好 "
367,快递 速度 不用 说 手机 新 机子 毛病 手机 很棒 流畅 手机 苹果 手机 不错 这时候 价格 算 合适 体验 很棒 
368,"15 号 凌晨 16 号 物流 速度 真的 
 买 白色 8plus 外观 真的 惊艳 
 手机 握持 感 赞 温润 如玉 感觉 
 第一次 苹果 系统 手机 刚上 手 运行 真的 流畅 
 特别 喜欢 款 手机 拍照 效果 "
369,买 弟用     我用   他用 8p   挺   毛病   非要 买   非要   小男孩 红色   骚气 一笔       不用   正好   写满 评语 京东   第一次 苹果 系统     完 苹果   反正 太 想 用安卓     更新 太快   买个 耐用   追求 高大   钱   哈哈哈   讲     来个 五星 好评   再接再厉 
370,安装 看着 电源网 线 硬盘 app 安装 安装 完 照片 文档 备份 玩 客云 速度 超级 app 1080p 视频 千元 NAS 百元 享受 赞赞赞 
371,比较忙 一段时间 评价 第一次 苹果 手机 第一次 京东 购买 手机 说实话 挺 担心 京东 下单 收到 包装 完好 打开 检查 外观 挺 颜色 喜欢 激活 店里 贴 膜 买 炒鸡 喜欢 手机 壳 粉嫩 少女 心 不错 暂时 序列号 查 始终 没查 激活 日期 
372,反应速度 很快 喜欢 款 包装 正规 发货 服务 沟通 顺畅 苹果 手机 不错 东西 全新 随货有 发票 配件 齐全 做工 不错 样子 好看 很大 气 喜欢 手感 观感 不错 性能 强 运行 流畅 灵敏 速度 宝贝 质量 正品 售后 保障 价格 划算 实体店 
373,全新 未 拆封 手机 外观 发现 品质 异常 顺利 购物 买 华为 破 20   pro 放弃 苹果 系统 魅力 毛病 放心 买 
374,手机电池 不错 买回来 三天 app 放着 90 电 58 挺不错 金色 粉金 好看 预期 快递 很快 负责 
375,苹果 iphone   X 外观 圆润 背部 采用 玻璃 机身 设计 正面 搭载 瑕疵 超级 视网膜   OLED   屏幕 屏幕 素质 比不上 三星 Note8 整体 显示 效果 震撼 显得 出色 
376,京东 快递 包装 暴力 盒子 手机 气垫 一个多 星期 谈 感受 手机 性能 流畅 iOS   11 确实 好用 iOS   10 功能 操作 不好 地方 苹果 手机 品控 越来越 不行 屏幕 边框 缝隙 插 A4 纸 
377,买 特别 划算 8p64 可惜 128 只好 入手 256 不错 实在 喜欢 新款 型 刘海 
378,黑色 越 越 好看 屏幕 完美 做工 不错 中 缝隙 A11 很快 昨晚 拍 早就 满意 
379,嘻嘻 5399 入 拿到 检查 手机 外观 完好无损 所说 胶水 痕迹 日期 正品 行货 开机 感觉 流畅 系统 114 静音 键 第一次 摁 难 摁 新 摁 顺畅 希望 久 总体 质量 满意 
380,金色 苹果 8plus 喜欢 显得 高大 手机 电池容量 经用 不用 充电 像素 挺 高 旅游 再也 不用 相机 
381,618 晚上 买 第二天 京东 物流 一如 料 打开 包装 红色 版 很靓 背面 玻璃 材质 手感 舒服 系统 做 评价 试 拍照 6s 强太多 夜景 拍摄 画面 亮 
382,第一次 京东 买 东西 苹果 担心 拿到 货后 担心 多余 手机 很快 做工 精致 不错 快递 很快 第一次 苹果 手机 熟悉 用会 习惯 几天 评价 发现 更好 
383,"舒服 
 转移 ios 导入 安卓 手机 通讯录 照片 
 是从 wp 同步 东西 
 金色 背板 好看 玻璃 面板 手感 
 无线 充电 速度 慢 一点 终于 13 年 lumia   买 充电 板 焕发 新机 
 surface   充电器 充电 快充 效果 
 感谢 学校 小哥 京东 王哥 每次 领 快递 编号 不用 报 "
384,手机 赞赞赞 屏幕 坏点 漏光 边框 缝隙 外观 损伤 划痕 深空 灰 实在 太漂亮 被帅 晕 木有 物流 自然 不用说 京东 配送 当天 下单 第二天 到货 好评 
385,手机 完美 苹果 系统 流程 8p 音质 像是 行走 低音炮 电池 续航 比较满意 
386,喜欢 刘海 平和 双卡 双待 感觉 low 玩游戏 爽 够用 性能 过剩 
387,买回来 查询 正品 电池 给力 玩 回来 剩 百分之 50 电 系统升级 1131 效果 流畅 系统 反应速度 好用 太 拍照 效果 给力 
388,电池 时间 长 外观 木有 惊喜 红色 特别 好看 那种 正 红色 6p 外挂 区别 运行 流程 ios 再也 换 回来 
389,8p 降价 热 搜 想 买 犹豫 5000 力度 很大 果断 买 挺不错 手机 回来 查 序列号 郑州 生产 有人 说 不是太好 暂时 外观 完美 用用 
390,特地 天才 评价   c39 深圳 产 到手 完美   摄像头 没灰   静音 键 松     接受   到手 1122 系统 bug 巨多   卡顿   更新 113 完美 流畅   续航 5s 好太多   重量 接受   玻璃 后盖 手感 特别   屏幕 不错   大爱 ios 系统 
391,iPhone     美在 智慧 一代 长相 淹没 才华 IPhone 精致 双面 玻璃 手感 滑 不错 地表 最强 A11 智能 摄像头 灵敏 电池 效果 有待 试用 唯一 遗憾 钢化 膜 两侧 白边 升级 用户   总体 感觉 不错 支持 京东 
392,升 8p 拆开 手机 惊喜 玻璃 屏 很漂亮 盒子 手机 外面 重拿惯 习惯   号 搞 活动 抢 5388 入 便宜 正品 快递 员 力 8p 拍 照片 扛 扛 
393,感谢 京东 给予 消费者 优惠 价格 购买 这款 iPhone8plus 这款 产品 苹果公司 2017 年 推出 一款 旗舰 产品 引领 国内 手机 市场 风向标 款 产品 系统 特别 流畅 一如既往 操作 特别 舒服 画面感 极强 处于 观望 状态 价格 太高 京东 做 活动 给予 消费者 价格 特别 优惠 可观 感谢 京东 谢谢 
394,特意 一段时间 评论 手机电池 耐用 玩游戏 太热 外观 漂亮 配 手机 壳 手里 沉甸甸 质感 
395,手机 物流 很快 机器 完整 破损 屏幕 清晰 坏点 操作 舒服 home 键 太 习惯 6s 满意 
396,"早上 付款 下午 拿到 赞 京东 物流 
 手机 拿到 手 升级 系统 换 一点 时间 系统 更新 手机 一点 发热 局部 发热 
 拍照 摄影 自拍 毛病 拍照 手机 
 屏幕 大小 习惯 单手 解锁 双手 操作 
 很快 满意 
 希望 电池 给力 不用 充电 宝 "
397,特别 流畅 丝毫 卡顿 大小 游戏 通吃 系统 好用 能耗 硬件 软件 体验 很棒 续航 能力 不错 完美 手机 京东 物流 好评 nice 
398,质感 好用 舒服 运行 速度 分辨率 打游戏 太 流畅 
399,买来 几天 降价 无语 中 波动 太大 巨亏 600 没用到 星期 滑铁卢 手感 温暖 如玉 不亏 IOS 系统 比安卓 流畅 摄像头 拍照 颜色 白天 差异 握 手里 分量 特足 满足感 确实 最强 智能机 快递 哥哥 点个 赞 送货上门 确实 习惯性 好评 
400,    第一次 苹果 手机     不太会       功能     数据 流量 设置         机     红色 美 
401,送 老婆 礼物 老婆 满意 真的 果粉 买 第四部 苹果 产品 对系统 运行 速度 照相 功能 点赞 说 品牌 手机 数十部 苹果 手机 预期 吐槽 苹果 手机 信号 4G wifi 信号 真的 没法 安卓 手机 家里 上网 总 掉线 苹果 通病 
402,8P 流畅 大气 舒服 第一次 苹果 手机 很快 手 做工 精致 招 喜欢 手机 频率 太高 买 
403,下午 苹果 8p 犹豫 选 颜色 好看 选择 黑色 感觉 黑色 买 息 屏 一体 感 好看 音质 不错 几天 感受一下 表现 发表 建议 总体 这是 一款 值得 推荐 手机 
404,se 手机 太小 换 i8plus1141 系统 运行 流畅 屏幕 够 玩游戏 新闻 出色 拍照 效果 杠杠 喜欢 se 风格 几天 发现 五星 好评 
405,一个月 真的 不错 三年 前 光学 防抖 选择 深空 灰 6plus 一年 多卖 买 s7 三星 优化 半年 用腻 想 苹果 老婆 买 7plus 换 S7 交替 一代 iPhone 7s   8plus 换 首发 当天 拿下 网友 评论 销量 想要 系统 流畅 CPU 性能 报表 CF 扬声器 降价 促销 后悔 选择 喜欢 原本 想 买 银色 想着 金色 不错 后盖 有种 果冻 感觉 helliphellip 手机 重量 接受 反正 感觉 手酸 续航 满意 长时间 玩游戏 一年 电池 三星 衰退 helliphellip 反正 挺 满意 正 犹豫 抢 一台 iPhone   X 卖 helliphellip 睡觉 
406,评论 手机 品牌 日 买下 价格 划算 几天 感觉 第一次 ios 系统 感觉 流畅 比安卓 手机 几天 感觉 不错 卡 操作 熟练 买 钢化 膜 建议 买 全包 买 半包 手机 很重 不错 体验 感 强 喜欢 购买 性价比 
407,"618 包裹 第二天   理解   物流 蛮快 
 拿到 手机 迫不及待 拆包   手机 大小 喜欢   感 不错   喜欢 iphone     拍照 功能   炒鸡 喜欢   "
408,说   说   好用 一笔   女朋友 X 好看 心 价比高 感觉 6s 运行 速度   屏幕 更大   摄像 效果   手感 更棒   信任 京东   京东 第二台 电脑 第三个 手机 更好 物流 更好 服务 
409,外观设计 精巧 美观 得体 大方 运行 速度 棒 自然 流畅 感觉 不错 值得 推荐 
410,手机 不错 流畅 信号 屏幕显示 效果 一级 棒 玩游戏 流畅 
411,京东 物流       手机 收到     仔细检查     网上 说 缝隙 现象     手机 系统 流畅     运行 完美     尺寸 看字 舒服     操控性 挺不错 
412,查 正品 电池 玩游戏 扛 像素 说完 不错 手机 值得 购买 快递 小哥 放在 丰巢 特意 打电话 通知 下点 赞 第一次 京东 买手机 总体 满意 
413,手机 很漂亮 金色 好看 屏 很大 机 划痕 激活 前官 网查 型号 确实 激活 激活 官网 同步 数据 显示 激活 正品 一个月 不错 
414,晚上 充满 电后 上午 九点 下午 五点 上午 相机 拍照 下午 微信 qq 51% 电 感觉 速度 很快 指纹 解锁 特别   功能 区别 甚微 吐糟 地方 总体 不错 
415,安兔 兔 跑 分 18 万多 算 中肯 数据 特地 追求 跑 分 包装 不错 破损 序列号 查证 物流 18 号 买 计划 送达 时间 21 号 实际上 送达 20 号 赞 后续 评价 话说回来 红色 真骚 
416,屏幕 清晰 灵敏 运行 速度 真的 不错 超快 手机 持电 时间 长 
417,喜欢 激动 终于 到手 苹果 一族 货真价实 流畅 分辨率 高 玩 不卡 喜欢 电影 喜欢 玩 吃 鸡 喜欢 游戏 好用 
418,设置 手机 中 看着 不错 送 礼物 不错 咯 熟悉 
419,显示 效果     运行 速度   流畅   拍照 效果   实体店   电池 续航       手机 送给 女朋友   女友 喜欢     推荐 朋友 买 
420,8p 续航 杠杠         性能 超级 棒   黑色 特别 炫酷   建议 选 颜色 拿不定 主意 入手 黑色 真的 超级 耐看 太酷 5499 很值 估计 两年 不卡 
421,早上 下单 下午 速度 确实 手机 不用说 很快 力 想 买 一部 苹果 试试 本来 下单 oppofindx 付款 两天 商 发货 退款 买 苹果 8p 感觉 选择 没错 苹果 确实 国产 系统 流畅 外观 漂亮 关键 实用性 高用 两三年 两 三部 国产 旗舰 两年 卡顿 两年 换 安卓机 外观 很漂亮 激进 实用价值 不高 外 观看 一段时间 腻 系统 给力 真的 给力 买 第一部 苹果 体验 信赖 京东 没错 愉快 愉快 购物 体验 一段时间 再来 追评 唯一 缺点 快递 包装 结实 气泡 袋防 压防 摔 导致 包装盒 两个 角有 碰撞 痕迹 包装 更好 没什么 大碍 以防万一 
422,手机 真 不赖       真     看着 舒服       棒       能振动     幅度 
423,期待 久 8p 物流 真的 快到 检查一下 官 网查 新 手机 玻璃 外观设计 好看 运行 速度 快颜值 说 高 x 喜欢 8p 一段时间 感觉 不错 充电 时间 长 续航 总体 满意 
424,手机 不错 快递 手里 接到 第一 时间 查询 手机 状态 果粉 正品 未激活 着急 手机 中 导出 联系人 手机 激活 时 照片 拍 遗憾 不一会 手机 倒持 挺 满意 谢谢 京东 好评 分 
425,杠杠 正品 便宜 手感 柔和 不错 不错 物流 力 棒棒 哒 愉快 购物 年三十 到手 手机 壳 买 快递 发货 京东 加油 
426,手机 很漂亮   手里 握感   苹果 系统 流畅   确实 惊艳     京东 快递 小哥 赞   超级   不错 不错 
427,特意 几天 评论 早上 充好 电上 班 回来 十一点 剩 48   没用 苹果 手机 国产机 挺不错     用过 苹果 手机 无法自拔 系统 超给力 手机 做工 超 精细 6plus   玫瑰 金后 盖 时间 久 掉 漆   这部 8plus   双面 玻璃 屏 设计 满意 十五号 凌晨 下单 当天 下午 送到 手 物流 力 
428,全新 正品 未激活 基带 查 高通 电池 玩游戏 很快 信号 
429,手机 不错   原装     配件 全新     新款 8p 取消 35 毫米 耳机 转换头     待机时间 很长     打游戏 充 
430,不错 第一次 网上 买 贵 东西 第一次 网上 买手机 担心 一点 一个月 损坏 价格 美丽 入手 
431,黑色     说 很帅     双十 一买     性价比 高   第一次 苹果 手机 没买 太   先买 皮 练练手 从安卓 转到 ios   习惯 几天   苹果 手机 系统 流畅 不卡太丝 滑     评论 折磨 毛病 犹豫     硬着头皮 买 京东 快递 太给力 真快     拿到 手里 第一部 查 激活     拆 包装 外观   完好无损   瑕疵   一步 激活     一段时间 感觉   京东 自营 
432,第一次 网上 买手机 第一次 入手 iPhone 一个月 满意 体验 真的 比安卓好 流畅 续航 能力 超级 棒 只用 充 电 外观 我选 银色 好看 是因为 后背 玻璃 缘故 裸机 重 质感 不错 总体 满意 
433,挺不错 激活 第一次 苹果 系统 手机 整体 印象 不错 屏幕 特别 舒服 手感 舒服 重重的 外观 特别 喜欢 担心 64g 
434,入手 银色 包装 简约 握 手上 分量 到手 电量 估计 10% 接近 7000 大洋 价格 入手 试 专用 耳机 效果 
435,手机 喜欢 白色 看着 舒服 长时间 流畅 ios 系统 解释 拍照 清晰 满意 
436,初中 用过 手机 一部 手机 发热 速度 指纹识别 特别 下载 软件 指纹 手机 垃圾 软件 不错 不错 希望 苹果 越来越 贵 
437,质量 外观 好看 空间 存 好多 颜色 好看 速度 喜欢 相机 效果 功能强大 购买 苹果 手机 好用 
438,12 号 傍晚 下单 13 号 上午 货物 流 速度 很快 开箱 验机 外观 完好 激活 顺利 登陆 ID 时有 一点 卡 总体 满意 惊喜 
439,京东 物流 依旧 很快 满意 手机 很快 一点 不卡 手机 真的 很漂亮 手感 超级 舒服 
440,颜色 漂亮 性价比 高 玩儿 吃 鸡 游戏 会发 烫 温度 太低 时 冻死 机 冻 关机 
441,手机 外观 很漂亮 大气 玻璃 面 深得我心 买 一点 后悔 速度 很快 听歌 音质 好看 电影 杜比 效果 视觉效果 不错 流畅 大气 好用 实用 
442,"手机 安兔 兔 跑 分 208 万 电池 耐用 手机 外表 完美 摄像 孔内 肉眼 颗粒 指纹 解锁 特别 快刚 激活 下载 qq 成功 关机 重启 取出 卡托 发现 掉 边上 漆 理解 太 窄小 helliphellip 6s 银色 肯定 好些 意见 买 银色 深空 灰 新 配色 谱 迟早会 氧化 掉 漆 用套 网上 说 信号 差 通话 电流 声 这部 表现 特别 边上 缝隙 贴合 度 完美 充电 蛮快 序列号 f17 开头 老婆 旁边 笑 评论 当作 写作文 helliphellip 
 发 希望 京东 加油 helliphellip "
443,物流 很快   第二天 是从 安卓换 苹果 金色 真的 太 好看 总体 感觉 流畅   好用查 序列号 正品 用爱思 助手 设备 详情   正版 离婚   零售 机 价钱 不错 忽略 绿色 棉被   嘻嘻 
444,苹果 iPhone8 搭载 A11 仿生 处理器 高 通晓 龙 845 相比 各类 跑 分 软件 整体 跑 分 数据 单核 跑 分 数据 苹果 A11 仿生 处理器 强 一点 iOS 苹果 iPhone8 整体 体验 OLED 屏 超高 屏 占 取消 经典 圆形 Home 键 采用 面部 识别 虹膜 扫描 无线 充电 快充 3D 摄像 
445,苹果 系统 4S 6SP 8P 系统 流畅 用个 两三年 卡机 第一次 双 摄像头 清晰度 4799 掉 谷底 
446,屏幕显示 清晰 机身 手感 整体 质感 超好 红色 很艳前 黑后 红 搭配 拍照 清晰 人像 模式 牛批 系统 流畅 整体 满意 
447,手机 颜色 款式 时尚 电池 耐用 像素 好好 清晰 手感 不错 很快 手 不错 一款 手机 价格 实惠 物流 力 声音 清晰 满意 网购 
448,京东 买 手机 一如既往 京东 买 十几 二十几 部手机 令 失望 这部 苹果 第一部 苹果 从安卓换 苹果 原因 有二一 想 试试 苹果 游戏 体验 比安卓好 尝尝鲜 把玩 感觉 重力 按压 功能 游戏 里 我用 一部 手机 2K 屏 感觉 屏幕 轻微 颗粒感 操作 流畅 度 比安卓好 
449,新手机 性能 外观 漂亮 屏幕 打游戏 很爽 买 内存 不用 考 照片 
450,操作 流畅性 正品 手机 激活 摸索 别有 一翻 体会 黑色 好看 高端 大气 上档次 想要 苹果 8P 玩游 游戏 手感 指纹 解锁 开锁 
451,想换个 大屏 8p 真的 滴 选择 物流 超级 两天 手机 手里 手感 运行 速度 特别 快赞 
452,款 红色 特别 款 特别 漂亮 iPhone product   rec 代表 艾滋病 机构 艾滋病 做 贡献 整体 不错 缺陷 功能 追加 评价 
453,拍照 效果 超级 银色 真的 好看 本来 评价 担心 没什么 
454,第一次 京东 买 东西 机身 几天 流畅 8P 打游戏 神器 王者 
455,拿到 手用 几天 正品 外形 好看 喜欢 款式 很耐电 充满 玩游戏 
456,"满意 手机 性价比 不错 外观 漂亮 简洁 大方 
 满意 为啥 软件 卡刷个 微博卡 几次 非 退出 开 
 做工 外观 外观 漂亮 拍照 清晰 性价比 高 优惠 力度 值得 选择 
 配置 性能 机器 性能 很强 游戏 流畅 
 系统 流畅 度 iPhone8   很漂亮 运行 稳定 价格 力 
 拍照 效果 拍照 像素 清晰 很棒 "
457,  担心   次日   8p 6sp 系统 流畅   声音   体验 一夜   不好     比心   谢谢 京东 小哥   送 速度 
458,苹果 8plus 手机 音质 挺 电池 凑合 反正 智能手机 天天 充电 像素 挺 高 拍照 效果 算 满意 
459,宝贝 下午 收到   中午 吃饭   加 急   真的 超 开心   手机 同步   不错   流畅   第一次 京东 买 东西   挺 信任   电池 耐用   先 一段时间 
460,买 验证 毛病 出厂日期 新 两周 生产 完美 购物 物超所值 大屏 爽歪歪 256g 久 终于 不用 16g iPhonese 
461,感谢 京东 给予 消费者 优惠 价格 购买 这款 苹果 884 这款 手机 一名 国产手机 刀锋 风向标 款 手机 苹果公司 2017 年 推出 一款 旗舰 产品 款 产品 系统 流畅 手机 运行 特别 一如既往 搭载 iOS11 特别 感谢 京东 消费者 实惠 价格 购买 这款 质量 正品 
462,全新 机 瑕疵 保修 日期 一年 不错 手感 好玩 王者 评论 说 二手 怕怕 安心 京东 信赖 买 手机 不错 
463,不错 手机 6p 屏幕 颜色 好看 续航 长 触屏 顺手 特别 home 键 舒服 
464,拿到 包装 完好 一点 磕碰 痕迹 查询 保修 信息 毛病 过程 中 流畅 速度 N 倍 
465,刘海 屏 感冒 A11 够用 溢出 A12 拍 一张 照片 发现自己 选择 iPhone6SP 光荣 下岗 这部 8P 算是 苹果 touchID 极致 很快 颜值 京东 快递 一如既往 
466,外观 漂亮   手感 不错   运行 速度 很快   选 颜色 纠结 久   金色 6s 选 灰色 很漂亮 
467,平常 玩游戏 电池电量 一整天 手机 不错 苹果 满意 白色 买 一款 红色 喜欢 京东 买手机 买 电脑 物流 很快 前一天 晚上 下单 第二天 上午 十点 
468,手机 买来 查 懒得 查 流畅 全新 玩 王者 荣耀 手感 不错 8p 星期 四川省 李白 买 闪膜 钢化 膜 天蓝色 液态 硅胶 手机 壳 第一 喜欢 蓝色 自带 logo 标志 
469,送货 真的 很快 25 号 晚上 22 点 40 付款 26 号 上午 京东 速度 赞 手机 解锁 很快 深空 灰 黑色 帅到 朋友 外观 大爱 系统 升到 IOS111 遗憾 白点 延迟 系统升级 看能 解决 拍照 很漂亮 颜色 美 上周日 特意 公园 测试 构图 拍 照片 美翻 
470,苹果 活动 力度 购买 价格 接受 系统 流畅 外观 简洁 没货多 几天 辜负 期望 买 电器 依然 信赖 京东 棒棒 哒 
471,手感 流线型 设计 速度 耳机 音响效果 特别 不错 拍照 效果 
472,帮别人 买   喜欢   用过 苹果 教 好久 拍照 XS   支持 无线 充电 三码 合一 查 保修 日期 激活 日期   京东 
473,"京东 品质 低价 促销 中 入手     Plus   白色 64G 
 京东 外盒 包装 稳固 环保 封条 撕 拆 独特 开箱 散发 淡淡 松香 手机 表面 指纹 手印 接合处 无溢胶 前面板 中框 缝隙   iphone   碰到 夹 头发 
 开机 运行 速度 关闭 true   tone 显示 清晰 拍照 效果 优秀 照片 通话记录 真 原封 
   Plus   优势 双摄   RAM 便携性 
 X 真的 未来 价格 肯定 超过 一部 份 承受能力 包括 
 缝隙 夹 头发 归咎于 富士康 品控 介意 激活 客服 入手 一张 3D 全凭 膜 
 顺电   Apple   Store 夹 头发 绝不会 线 渠道 独享 
 支持 京东 "
474,多年 安卓 用户 转 iOS 说 流畅 背面 玻璃 惊艳 手感 一级 棒 裸机 修不起 像素 nice 像素 1200 万 可比 国产 主打 拍照 手机 强多 发货 很快 中午 下单 晚上 喜欢 京东 物流 手机 一段时间 评价 暂时 发现 
